Israeli Cyber Ecosystem — Deal Database | Lama Partners | Jun 2026 | 331 companies | 485 deal rows | Sources: PitchBook + Startup Nation Finder + Web Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY INFO — repeats on every deal row,,,,,,,,,,,,,,,,,,DEAL INFO — changes per row,,,,,META,
Company Name,Website,PitchBook URL,Founding Year,Employees,Description (1 line),HQ City / Region,HQ Country,Sector Tag,Founders,Military Unit,Last Role Before Founding,Founder LinkedIn (to fill),Angels Involved,Customers (public),Total Raised ($M),Post-Money Valuation ($M),Acquired?,Acquirer,Exit Size ($M),Round Type,Round Date,Round Size ($M),Lead Investor,Co-Investors,Round Valuation ($M),Source,Notes
AU10TIX,au10tix.com,,2005,51-200,Identity Verification Solutions,Tel Aviv,Israel,Identity & Access,"Ofer Friedman, Ron Atzmon",,ICTS International — airport security and identity verification specialists,Ofer Friedman: https://www.linkedin.com/in/ofriedman/,,"Uber, PayPal, Coinbase, global financial institutions",80,,No,,,Growth,,80.0,,,,Startup Nation Finder,Identity verification and document authentication. $80M raised. Spinout from ICTS International (airport security).
Above Security,www.above.security,https://my.pitchbook.com/profile/1167889-69/company/profile,2025,16,AI-powered email and communication security platform,,Israel,Security Operations,Aviv Nahum,Unknown,Aviv Nahum: AI & Integrations at Sana,Aviv Nahum: https://www.linkedin.com/in/avivon/,,,50.00,,No,,,Accelerator,Jan 2026,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Above Security,www.above.security,https://my.pitchbook.com/profile/1167889-69/company/profile,2025,16,AI-powered email and communication security platform,,Israel,Security Operations,Aviv Nahum,Unknown,Aviv Nahum: AI & Integrations at Sana,Aviv Nahum: https://www.linkedin.com/in/avivon/,,,50.00,,No,,,Seed,Mar 2026,50.00,"Norwest, Merlin Ventures","Ballistic Ventures, Jump Capital, QPVentures",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
Acsense,www.acsense.com,https://my.pitchbook.com/profile/469181-80/company/profile,2021,29,"Identity resilience — Okta backup, recovery, and identity continuity platform","4 Hashiezaf Street, Raanana 4366411, Israel",Israel,Identity & Access,Muli Motola,Unknown,Muli Motola: Co-Founder & CTO at Teraworks,Muli Motola: https://www.linkedin.com/in/motolamuli/,,,7.20,,No,,,Seed,Jan 2023,5.00,Joule Ventures,"Binder & Partners, Fusion VC, Gefen Capital, Tachles VC",13.20,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Acsense,www.acsense.com,https://my.pitchbook.com/profile/469181-80/company/profile,2021,29,"Identity resilience — Okta backup, recovery, and identity continuity platform","4 Hashiezaf Street, Raanana 4366411, Israel",Israel,Identity & Access,Muli Motola,Unknown,Muli Motola: Co-Founder & CTO at Teraworks,Muli Motola: https://www.linkedin.com/in/motolamuli/,,,7.20,,No,,,Early Stage VC,Nov 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Acsense,www.acsense.com,https://my.pitchbook.com/profile/469181-80/company/profile,2021,29,"Identity resilience — Okta backup, recovery, and identity continuity platform","4 Hashiezaf Street, Raanana 4366411, Israel",Israel,Identity & Access,Muli Motola,Unknown,Muli Motola: Co-Founder & CTO at Teraworks,Muli Motola: https://www.linkedin.com/in/motolamuli/,,,7.20,,No,,,Accelerator,May 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Acsense,www.acsense.com,https://my.pitchbook.com/profile/469181-80/company/profile,2021,29,"Identity resilience — Okta backup, recovery, and identity continuity platform","4 Hashiezaf Street, Raanana 4366411, Israel",Israel,Identity & Access,Muli Motola,Unknown,Muli Motola: Co-Founder & CTO at Teraworks,Muli Motola: https://www.linkedin.com/in/motolamuli/,,,7.20,,No,,,Early Stage VC,May 2025,1.00,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Acsense,www.acsense.com,https://my.pitchbook.com/profile/469181-80/company/profile,2021,29,"Identity resilience — Okta backup, recovery, and identity continuity platform","4 Hashiezaf Street, Raanana 4366411, Israel",Israel,Identity & Access,Muli Motola,Unknown,Muli Motola: Co-Founder & CTO at Teraworks,Muli Motola: https://www.linkedin.com/in/motolamuli/,,,7.20,,No,,,Later Stage VC,Mar 2026,0.50,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Act Security,actsecurity.ai,,2025,11-50,Actionable Cloud Risk-reduction for Security Teams,Tel Aviv,Israel,Cloud Security,,Unknown,,,,,60.0,,No,,,Series A,,60.0,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Adaptive Shield,adaptiveshield.com,,2019,,SaaS security posture management (SSPM) — discovers and remediates SaaS misconfigurations,Tel Aviv,Israel,Cloud Security,"Hananel Livneh, Maor Bin",8200,Hananel Livneh: Head of Product Marketing at Adaptive Shield | Maor Bin: Research Lead Threat Systems Products at Proofpoint,Hananel Livneh: https://www.linkedin.com/in/hananel-livneh/ | Maor Bin: https://www.linkedin.com/in/maorbin/,,Enterprise SaaS users,30,,Yes,CrowdStrike,Undisclosed,Early Stage VC,Jul 2023,10.00,,,127.84,PitchBook (cyber_deals export),Acquired by CrowdStrike 2023. CyberStarts seeded.
Adversa AI,www.adversa.ai,https://my.pitchbook.com/profile/482500-90/company/profile,2021,7,Adversarial AI security — red teaming and robustness testing for AI and ML systems,"Rothschild Boulevard 45, Tel Aviv 6578403, Israel",Israel,AI Security,Alex Polyakov,Unknown,Alex Polyakov: Cybersecurity researcher/practitioner,Alex Polyakov: https://www.linkedin.com/in/alex-polyakov-cyber/,,,0.05,,No,,,Accelerator,Dec 2024,0.05,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Adversa AI,www.adversa.ai,https://my.pitchbook.com/profile/482500-90/company/profile,2021,7,Adversarial AI security — red teaming and robustness testing for AI and ML systems,"Rothschild Boulevard 45, Tel Aviv 6578403, Israel",Israel,AI Security,Alex Polyakov,Unknown,Alex Polyakov: Cybersecurity researcher/practitioner,Alex Polyakov: https://www.linkedin.com/in/alex-polyakov-cyber/,,,0.05,,No,,,Early Stage VC,Nov 2025,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Adversa AI,www.adversa.ai,https://my.pitchbook.com/profile/482500-90/company/profile,2021,7,Adversarial AI security — red teaming and robustness testing for AI and ML systems,"Rothschild Boulevard 45, Tel Aviv 6578403, Israel",Israel,AI Security,Alex Polyakov,Unknown,Alex Polyakov: Cybersecurity researcher/practitioner,Alex Polyakov: https://www.linkedin.com/in/alex-polyakov-cyber/,,,0.05,,No,,,Seed,,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Aim Security,aim.security,,2023,,GenAI security platform — enterprise guardrails for safe GenAI adoption across tools and workflows,Tel Aviv,Israel,AI Security,"Matan Derman, Adir Gruss",8200,Matan Derman: IDF Unit 8200 | Adir Gruss: Field CTO at Laminar,Matan Derman: https://www.linkedin.com/in/mderman/ | Adir Gruss: https://www.linkedin.com/in/adir-g-797bab155/,,Enterprise Fortune 500,18,,No,,,Seed,Jan 2024,11.07,YL Ventures,"Cyber Club London, Operator Partners, The Security Syndicate",31.91,PitchBook (cyber_deals export),CyberStarts-backed. Safe AI adoption category.
Aim Security,aim.security,,2023,,GenAI security platform — enterprise guardrails for safe GenAI adoption across tools and workflows,Tel Aviv,Israel,AI Security,"Matan Derman, Adir Gruss",8200,Matan Derman: IDF Unit 8200 | Adir Gruss: Field CTO at Laminar,Matan Derman: https://www.linkedin.com/in/mderman/ | Adir Gruss: https://www.linkedin.com/in/adir-g-797bab155/,,Enterprise Fortune 500,18,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),CyberStarts-backed. Safe AI adoption category.
Aim Security,aim.security,,2023,,GenAI security platform — enterprise guardrails for safe GenAI adoption across tools and workflows,Tel Aviv,Israel,AI Security,"Matan Derman, Adir Gruss",8200,Matan Derman: IDF Unit 8200 | Adir Gruss: Field CTO at Laminar,Matan Derman: https://www.linkedin.com/in/mderman/ | Adir Gruss: https://www.linkedin.com/in/adir-g-797bab155/,,Enterprise Fortune 500,18,,No,,,Accelerator,May 2024,,,,,PitchBook (cyber_deals export),CyberStarts-backed. Safe AI adoption category.
Aim Security,aim.security,,2023,,GenAI security platform — enterprise guardrails for safe GenAI adoption across tools and workflows,Tel Aviv,Israel,AI Security,"Matan Derman, Adir Gruss",8200,Matan Derman: IDF Unit 8200 | Adir Gruss: Field CTO at Laminar,Matan Derman: https://www.linkedin.com/in/mderman/ | Adir Gruss: https://www.linkedin.com/in/adir-g-797bab155/,,Enterprise Fortune 500,18,,No,,,Early Stage VC,Jun 2024,18.00,Canaan Partners,"Cyber Club London, GV, Mercer Ventures, Operator Partners, Proofpoint, StoneMill Ventures, Valley Capital Partners, YL Ventures",74.60,PitchBook (cyber_deals export),CyberStarts-backed. Safe AI adoption category.
AirEye,aireye.io,,,,Developer of a wireless security policy designed to control and protect corporate network airspace. The company's pla...,Tel Aviv,Israel,Network Security,,Unknown,,,,,,,No,,,Later Stage VC,Mar 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Information Technology
AironWorks,aironworks.com,,2021,51-200,Secure Humans. Secure AI Agents.,Tel Aviv,Israel,AI Security,,Unknown,,,,,12.45,,No,,,Seed,,12.45,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Akeyless,akeyless.io,,2018,51-200,Unified Secrets and Non-Human Identity Platform,Tel Aviv,Israel,Identity & Access,"Refael Aharon, Oded Hareven, Shai Onn",8200,Oded Hareven: Prior venture | Shai Onn: Board Director at SHVA,Oded Hareven: https://www.linkedin.com/in/odedhareven/ | Shai Onn: https://www.linkedin.com/in/shai-onn-818643b/,,"Enterprise DevOps, financial services, healthcare",79,,No,,,Later Stage VC,Oct 2024,,,,,Startup Nation Finder,Unified secrets and NHI platform. $79M raised. Series B Lightspeed 2023.
Akeyless,akeyless.io,,2018,51-200,Unified Secrets and Non-Human Identity Platform,Tel Aviv,Israel,Identity & Access,"Refael Aharon, Oded Hareven, Shai Onn",8200,Oded Hareven: Prior venture | Shai Onn: Board Director at SHVA,Oded Hareven: https://www.linkedin.com/in/odedhareven/ | Shai Onn: https://www.linkedin.com/in/shai-onn-818643b/,,"Enterprise DevOps, financial services, healthcare",79,,No,,,Later Stage VC,Jul 2025,4.00,Team8,NGP Capital,,Startup Nation Finder,Unified secrets and NHI platform. $79M raised. Series B Lightspeed 2023.
Akeyless,akeyless.io,,2018,51-200,Unified Secrets and Non-Human Identity Platform,Tel Aviv,Israel,Identity & Access,"Refael Aharon, Oded Hareven, Shai Onn",8200,Oded Hareven: Prior venture | Shai Onn: Board Director at SHVA,Oded Hareven: https://www.linkedin.com/in/odedhareven/ | Shai Onn: https://www.linkedin.com/in/shai-onn-818643b/,,"Enterprise DevOps, financial services, healthcare",79,,No,,,Series B,,79.0,,,,Startup Nation Finder,Unified secrets and NHI platform. $79M raised. Series B Lightspeed 2023.
Albarius,www.albarius.io,https://my.pitchbook.com/profile/607388-86/company/profile,2022,16,AI model and LLM security platform for enterprise AI deployments,"12 Ha-yetzira Street, Ramat Gan 52521, Israel",Israel,AI Security,Eric Mishayev,Unknown,Eric Mishayev: CTO at ICTBIT Solutions,Eric Mishayev: https://www.linkedin.com/in/eric-mishayev/,,,,,No,,,Accelerator,Oct 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. Business/Productivity Software
AlgoSec,algosec.com,,2004,500+,Business-driven Network Security Management,Tel Aviv,Israel,Network Security,,Unknown,,,,,36.0,,No,,,Growth,,36.0,,,,Startup Nation Finder,Stage: Mature. Business Model: B2B.
Alice,alice.security,https://my.pitchbook.com/profile/277456-33/company/profile,2018,,AI-powered security operations platform for enterprise SOC automation and analyst support,Tel Aviv,Israel,Security Operations,Noam Schwartz,Unknown,Noam Schwartz: VP Business & Corporate Development at SimilarWeb,Noam Schwartz: https://www.linkedin.com/in/noamsp/,,Enterprise SOC,123.36,,No,,,Later Stage VC,Mar 2023,,,,,PitchBook (cyber_deals export),AI-powered SOC. $123M raised. Glilot Capital backed.
Alice,alice.security,https://my.pitchbook.com/profile/277456-33/company/profile,2018,,AI-powered security operations platform for enterprise SOC automation and analyst support,Tel Aviv,Israel,Security Operations,Noam Schwartz,Unknown,Noam Schwartz: VP Business & Corporate Development at SimilarWeb,Noam Schwartz: https://www.linkedin.com/in/noamsp/,,Enterprise SOC,123.36,,No,,,Accelerator,Jan 2024,,,,,PitchBook (cyber_deals export),AI-powered SOC. $123M raised. Glilot Capital backed.
Alice,alice.security,https://my.pitchbook.com/profile/277456-33/company/profile,2018,,AI-powered security operations platform for enterprise SOC automation and analyst support,Tel Aviv,Israel,Security Operations,Noam Schwartz,Unknown,Noam Schwartz: VP Business & Corporate Development at SimilarWeb,Noam Schwartz: https://www.linkedin.com/in/noamsp/,,Enterprise SOC,123.36,,No,,,Later Stage VC,Aug 2025,25.00,,,,PitchBook (cyber_deals export),AI-powered SOC. $123M raised. Glilot Capital backed.
Allot,allot.com,,1996,500+,Network Intelligence and Security Solutions,Tel Aviv,Israel,Network Security,,Unknown,,,,,184.3,,No,,,IPO/Public,,184.3,,,,Startup Nation Finder,Stage: Public. Business Model: B2B.
Anecdotes,anecdotes.ai,https://my.pitchbook.com/profile/437890-51/company/profile,2019,,"Compliance evidence automation and GRC — automates SOC2, ISO27001 evidence collection",Tel Aviv,Israel,GRC & Compliance,Roi Amior,Unknown,Roi Amior: Director of Product Management at IntSights,Roi Amior: https://www.linkedin.com/in/roi-amior/,,Enterprise,60,,No,,,Accelerator,Nov 2024,,,,,PitchBook (cyber_deals export),$60M raised. Aleph + Glilot Capital backed.
Anecdotes,anecdotes.ai,https://my.pitchbook.com/profile/437890-51/company/profile,2019,,"Compliance evidence automation and GRC — automates SOC2, ISO27001 evidence collection",Tel Aviv,Israel,GRC & Compliance,Roi Amior,Unknown,Roi Amior: Director of Product Management at IntSights,Roi Amior: https://www.linkedin.com/in/roi-amior/,,Enterprise,60,,No,,,Later Stage VC,Apr 2025,30.00,DTCP Growth,"Glilot Capital, Red Dot Capital Partners, Shasta Ventures Management, Vertex, Vertex Ventures Israel, Vintage",110.00,PitchBook (cyber_deals export),$60M raised. Aleph + Glilot Capital backed.
Anonybit,anonybit.io,,2022,11-50,Decentralized Biometric Identity Platform,Tel Aviv,Israel,Identity & Access,,Unknown,,,,,6.5,,No,,,Seed,,6.5,,,,Startup Nation Finder,Stage: Seed. Business Model: B2B.
Aperio Systems,aperio-systems.com,,2016,11-50,Industrial IoT Data Integrity Solutions,Tel Aviv,Israel,OT / ICS / IoT,,Unknown,,,,,24.85,,No,,,Series A,,24.85,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Apex Security,www.apexhq.ai,https://my.pitchbook.com/profile/538831-18/company/profile,2023,36,Security operations and vulnerability management platform,"Tel Aviv, Israel",Israel,Security Operations,,Unknown,,,,,7.00,,No,,,Seed,Aug 2023,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. IT Consulting and Outsourcing
Apex Security,www.apexhq.ai,https://my.pitchbook.com/profile/538831-18/company/profile,2023,36,Security operations and vulnerability management platform,"Tel Aviv, Israel",Israel,Security Operations,,Unknown,,,,,7.00,,No,,,Seed,May 2024,7.00,Sequoia Capital,"Cerca Partners, Clément Delangue, Cyverse Capital, Index Ventures, Rene Bonvanie, Samuel Altman",,PitchBook (cyber_deals export),Primary Industry: Network Management Software. IT Consulting and Outsourcing
Apex Security,www.apexhq.ai,https://my.pitchbook.com/profile/538831-18/company/profile,2023,36,Security operations and vulnerability management platform,"Tel Aviv, Israel",Israel,Security Operations,,Unknown,,,,,7.00,,No,,,,,7.0,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software. IT Consulting and Outsourcing
Apiiro,apiiro.com,,2019,51-200,Cloud Application Security Platform,Tel Aviv,Israel,Cloud Security,"Idan Plotnik, Yonatan Eldar",Matzov (IDF Encryption & Information Security unit),Idan Plotnik: GM Microsoft (post-acquisition of Aorato for $200M); Yonatan Eldar: Head of Development at Aorato,Idan Plotnik: https://www.linkedin.com/in/idanplotnik/ | Yonatan Eldar: https://www.linkedin.com/in/yonatan-eldar-a6a40621/,,"Fortune 500 banks, healthcare, gaming, software dev companies",135,,No,,,Later Stage VC,Jun 2025,,,,,Startup Nation Finder,Both founders Matzov alumni. Plotnik previously sold Aorato to Microsoft for $200M. $35M Series A (Greylock) + $100M Series B (General Catalyst + Kleiner Perkins).
Apiiro,apiiro.com,,2019,51-200,Cloud Application Security Platform,Tel Aviv,Israel,Cloud Security,"Idan Plotnik, Yonatan Eldar",Matzov (IDF Encryption & Information Security unit),Idan Plotnik: GM Microsoft (post-acquisition of Aorato for $200M); Yonatan Eldar: Head of Development at Aorato,Idan Plotnik: https://www.linkedin.com/in/idanplotnik/ | Yonatan Eldar: https://www.linkedin.com/in/yonatan-eldar-a6a40621/,,"Fortune 500 banks, healthcare, gaming, software dev companies",135,,No,,,Series B,,135.0,,,,Startup Nation Finder,Both founders Matzov alumni. Plotnik previously sold Aorato to Microsoft for $200M. $35M Series A (Greylock) + $100M Series B (General Catalyst + Kleiner Perkins).
Apono,apono.io,,2021,51-200,Permission Management Solution for DevOps,Tel Aviv,Israel,Security Operations,"Rom Carmel, Almog Apirion",8200,Rom Carmel: Security R&D Team Lead at Israel PM's Office Cyber Division | Almog Apirion: Cybersecurity & IT Director / CISO at Orbotech,Rom Carmel: https://www.linkedin.com/in/romcarmel/ | Almog Apirion: https://www.linkedin.com/in/almog-apirion/,,Enterprise DevOps teams — just-in-time cloud access,54.5,,Yes,CyberArk,,,,54.5,,,,Startup Nation Finder,Acquired by CyberArk. Just-in-time cloud access management. $54.5M raised. Series B Lightspeed.
AppDome,appdome.com,,2011,51-200,Automated Cyber Security for Mobile Apps,Tel Aviv,Israel,Security Operations,"Tom Tovar, Chris Roeckl",None (US founders),Tom Tovar: Advisor/Investor at Cyber & Automation Companies | Chris Roeckl: CMO at Pulse Secure,Tom Tovar: https://www.linkedin.com/in/tom-tovar-9b8552/ | Chris Roeckl: https://www.linkedin.com/in/croeckl/,,"Hundreds of global banks, financial institutions, government agencies",56.38,,No,,,Series C,,56.38,,,,Startup Nation Finder,No-code mobile app security automation. $56.38M raised. Series C Headline Ventures.
Aqua Security,aquasec.com,,,,Developer of a cloud-based cybersecurity platform intended to improve security for containerized and cloud-native app...,Ramat Gan,Israel,Cloud Security,"Dror Davidoff, Amir Jerbi",8200,Dror Davidoff: Chief Revenue Officer at Clicktale | Amir Jerbi: Senior Architect/Engineer at CA Technologies,Dror Davidoff: https://www.linkedin.com/in/drordavidoff/ | Amir Jerbi: https://www.linkedin.com/in/amirjerbi/,,"Enterprises globally — SAP, Adobe, Apple, HPE, Tencent",325,,No,,,Later Stage VC,Jan 2024,195.00,"Evolution Equity Partners, Kreos Capital","Acrew Capital, Capital One Ventures, Greenspring Associates, Insight Partners, ION Asset Management, Lightspeed Venture Partners Israel, M12, Sixty Degree Capital","1,000.00",PitchBook (cyber_deals export),Cloud-native security pioneer. $325M raised. Series E. Container and Kubernetes security market leader.
Armis,armis.com,,2015,,Asset intelligence and IoT/OT security — agentless device visibility and security for enterprise,San Francisco / Tel Aviv,Israel,OT / ICS / IoT,"Yevgeny Dibrov, Nadir Izrael",8200,Yevgeny Dibrov: Not visible | Nadir Izrael: Software Engineer at Google,Yevgeny Dibrov: https://www.linkedin.com/in/yevgenydibrov/ | Nadir Izrael: https://www.linkedin.com/in/nadiriz/,,"Fortune 500, healthcare, manufacturing",600,,Yes,ServiceNow,7800,,,,,,,SNC 2025,Acquired by ServiceNow $7.75B in 2025. Third-largest Israeli cyber exit ever. Dibrov now active angel (7 portfolio cos).
Aryon Security,www.aryon.security,https://my.pitchbook.com/profile/721119-70/company/profile,2024,50,Cloud security guardrails — prevents cloud misconfigurations proactively before deployment,"Beat Hilel 16, Tel Aviv 6701716, Israel",Israel,Cloud Security,Ron Arbel,Unknown,Ron Arbel: COO at Cyberillium,Ron Arbel: https://www.linkedin.com/in/ron-arbel/,,,38.00,,No,,,Seed,Jan 2024,,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Aryon Security,www.aryon.security,https://my.pitchbook.com/profile/721119-70/company/profile,2024,50,Cloud security guardrails — prevents cloud misconfigurations proactively before deployment,"Beat Hilel 16, Tel Aviv 6701716, Israel",Israel,Cloud Security,Ron Arbel,Unknown,Ron Arbel: COO at Cyberillium,Ron Arbel: https://www.linkedin.com/in/ron-arbel/,,,38.00,,No,,,Seed,Mar 2025,9.00,Viola Ventures,"Blumberg Capital, CISO Global, Elron Ventures, Maty Siman, Rubi Aronashvili, Shlomo Kramer",,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Aryon Security,www.aryon.security,https://my.pitchbook.com/profile/721119-70/company/profile,2024,50,Cloud security guardrails — prevents cloud misconfigurations proactively before deployment,"Beat Hilel 16, Tel Aviv 6701716, Israel",Israel,Cloud Security,Ron Arbel,Unknown,Ron Arbel: COO at Cyberillium,Ron Arbel: https://www.linkedin.com/in/ron-arbel/,,,38.00,,No,,,Early Stage VC,Jun 2026,29.00,,,,PitchBook (cyber_deals export),Primary Industry: Network Management Software
Astelia,astelia.io,,2024,51-200,Security Exposure Management Platform,Tel Aviv,Israel,Security Operations,,Unknown,,,,,35.0,,No,,,Series A,,35.0,,,,Startup Nation Finder,Stage: A. Business Model: B2B.
Astrix Security,astrix.security,https://my.pitchbook.com/profile/492768-10/company/profile,2021,,Non-human identity (NHI) security — discovers and secures all app-to-app connections and service accounts,Tel Aviv,Israel,Identity & Access,Alon Jackson,8200,Alon Jackson: IDF intelligence/security research,Alon Jackson: https://www.linkedin.com/in/jackson-alon/,,Enterprise,91,,No,,,Early Stage VC,Jun 2023,25.00,CRV,"Bessemer Venture Partners, Cyverse Capital, F2 Venture Capital, Venrock",87.21,PitchBook (cyber_deals export),NHI security pioneer. $91M raised. Bessemer Series C.
Astrix Security,astrix.security,https://my.pitchbook.com/profile/492768-10/company/profile,2021,,Non-human identity (NHI) security — discovers and secures all app-to-app connections and service accounts,Tel Aviv,Israel,Identity & Access,Alon Jackson,8200,Alon Jackson: IDF intelligence/security research,Alon Jackson: https://www.linkedin.com/in/jackson-alon/,,Enterprise,91,,No,,,Early Stage VC,Mar 2024,,,,,PitchBook (cyber_deals export),NHI security pioneer. $91M raised. Bessemer Series C.
Astrix Security,astrix.security,https://my.pitchbook.com/profile/492768-10/company/profile,2021,,Non-human identity (NHI) security — discovers and secures all app-to-app connections and service accounts,Tel Aviv,Israel,Identity & Access,Alon Jackson,8200,Alon Jackson: IDF intelligence/security research,Alon Jackson: https://www.linkedin.com/in/jackson-alon/,,Enterprise,91,,No,,,Early Stage VC,Dec 2024,51.00,Menlo Ventures,"Anthropic, Arieli Group, Bessemer Venture Partners, CRV, Elron Ventures, F2 Venture Capital, Workday Ventures",192.26,PitchBook (cyber_deals export),NHI security pioneer. $91M raised. Bessemer Series C.
